"profile","country","N","R0","alpha","gamma","rho","k","S_0","E_0","I_0","R_0","loglik","loglik.se"
"k","Guinea",10628972,1.21681117882759,0.619761102553862,1.00503358535015,0.2,0.888888888888889,0.999994863873821,1.33900385428311e-06,3.79712232483654e-06,0,-157.323187422667,0.0184766955669287
"k","Guinea",10628972,1.21567898737124,0.619761102553862,1.00503358535015,0.2,0.898989898989899,0.999994880171698,1.47682763601889e-06,3.64300066573197e-06,0,-157.437993936528,0.0245236433210164
"k","Guinea",10628972,1.21583943318425,0.619761102553862,1.00503358535015,0.2,0.909090909090909,0.999994828235334,1.50754895094292e-06,3.6642157149634e-06,0,-157.565337382522,0.0279507200194291
"k","Guinea",10628972,1.21491490952462,0.619761102553862,1.00503358535015,0.2,0.919191919191919,0.99999490893412,1.40706524079357e-06,3.68400063907835e-06,0,-157.698052605074,0.0177015880105786
"k","Guinea",10628972,1.21664478913368,0.619761102553862,1.00503358535015,0.2,0.929292929292929,0.999994983449915,1.38679238430613e-06,3.62975770042923e-06,0,-157.80662467083,0.0156700032439139
"k","Guinea",10628972,1.22370358589611,0.619761102553862,1.00503358535015,0.2,0.151515151515152,0.999996031234248,1.2520739303477e-06,2.71669182189918e-06,0,-157.83931340671,0.0527858511618075
"k","Guinea",10628972,1.21506130268348,0.619761102553862,1.00503358535015,0.2,0.939393939393939,0.999994924666567,1.20225113896455e-06,3.8730822936598e-06,0,-157.939389788647,0.0223765836100757
"k","Guinea",10628972,1.21754283337442,0.619761102553862,1.00503358535015,0.2,0.94949494949495,0.999994906914721,1.5220804082679e-06,3.57100487102196e-06,0,-158.054127496957,0.0130231776175521
"k","Guinea",10628972,1.21403585433872,0.619761102553862,1.00503358535015,0.2,0.95959595959596,0.999994913175636,1.52529357758944e-06,3.56153078669716e-06,0,-158.186208164982,0.0211758961112265
"k","Guinea",10628972,1.21895974941057,0.619761102553862,1.00503358535015,0.2,0.96969696969697,0.99999490134764,1.55412138392564e-06,3.54453097634423e-06,0,-158.320312469399,0.0167306528162309
"k","Guinea",10628972,1.21523169052114,0.619761102553862,1.00503358535015,0.2,0.97979797979798,0.999994819826137,1.38744975812433e-06,3.79272410501624e-06,0,-158.414228895552,0.0214132679871319
"k","Guinea",10628972,1.21695199601102,0.619761102553862,1.00503358535015,0.2,0.98989898989899,0.999994952958852,1.28847807631657e-06,3.75856307169399e-06,0,-158.560033155942,0.0126020080596129
"k","Guinea",10628972,1.21753037784116,0.619761102553862,1.00503358535015,0.2,1,0.999994812907863,1.63778105476311e-06,3.54931108210723e-06,0,-158.680811301987,0.0206414340671592
"k","Guinea",10628972,1.2215191745664,0.619761102553862,1.00503358535015,0.2,0.141414141414141,0.999995928502864,1.16941098529012e-06,2.90208615054895e-06,0,-158.731382917777,0.0749971782140578
"k","Guinea",10628972,1.21859545918413,0.619761102553862,1.00503358535015,0.2,0.131313131313131,0.999995644843231,1.2988963545764e-06,3.05626041428159e-06,0,-159.786506709448,0.0743855996060228
"k","Guinea",10628972,1.21642371785944,0.619761102553862,1.00503358535015,0.2,0.121212121212121,0.999996065839658,1.74770252604929e-06,2.18645781614439e-06,0,-161.136839313495,0.0959566849326225
"k","Guinea",10628972,1.22673742683188,0.619761102553862,1.00503358535015,0.2,0.111111111111111,0.999996129204203,1.80434719822258e-06,2.06644859894811e-06,0,-162.550346263142,0.126706438635598
"k","Guinea",10628972,1.22199120969498,0.619761102553862,1.00503358535015,0.2,0.101010101010101,0.999995775427335,1.33034419980431e-06,2.8942284654273e-06,0,-164.225104906264,0.102179001536419
"k","Guinea",10628972,1.21801266355706,0.619761102553862,1.00503358535015,0.2,0.0909090909090909,0.999996402789329,1.25312882354383e-06,2.34408184715803e-06,0,-166.357559160828,0.119190056884879
"R0","Guinea",10628972,1.21105527638191,0.619761102553862,1.00503358535015,0.2,0.353185308507393,0.999995394576618,1.20731327539953e-06,3.39811010702342e-06,0,-152.272873151997,0.0380372238981331
"R0","Guinea",10628972,1.22110552763819,0.619761102553862,1.00503358535015,0.2,0.351878919631525,0.999995507492521,1.39195600973427e-06,3.10055146916938e-06,0,-152.273081605702,0.0282038539380819
"R0","Guinea",10628972,1.20100502512563,0.619761102553862,1.00503358535015,0.2,0.36098282689651,0.999995107368952,1.30406527380572e-06,3.58856577470955e-06,0,-152.298108470569,0.0290008643903502
"R0","Guinea",10628972,1.23115577889447,0.619761102553862,1.00503358535015,0.2,0.361958081760936,0.999995620670499,1.50264631247945e-06,2.8766831889143e-06,0,-152.321897588059,0.0382760572271384
"R0","Guinea",10628972,1.19095477386935,0.619761102553862,1.00503358535015,0.2,0.367952223089039,0.99999486203995,9.26417578774034e-07,4.21154247118946e-06,0,-152.431890871988,0.0388724439994132
"R0","Guinea",10628972,1.24120603015075,0.619761102553862,1.00503358535015,0.2,0.369089177070274,0.999995852350912,1.41124932055701e-06,2.73639976772147e-06,0,-152.441971539838,0.0465414016584393
