"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"Hastings1",-1594.58064071351,0.163897636462334,0,0,0.02,31.7223798777479,23.9962432751074,0.679461041375776,7.50391538174841,0.610147204885272,1,1.08247874757769,0.431737958099984,5.25651287683994,0.398711164120406,0.0148848380467682,7.16196729858968e-06,1.0596261632775e-05,0.9850974037243
"Hastings2",-1591.86290873408,0.209276084769407,0,0,0.02,34.8900556257525,23.0634273026535,0.66398931995012,7.48683070310036,0.584006525309379,1,0.766720516932413,0.488351411687608,7.79666856892385,0.421736372295619,0.0125668733809864,5.74928504629891e-06,9.21562539881406e-06,0.98741816170857
"Hastings3",-1588.02220562505,0.229650808984456,0,0,0.02,29.2852618025926,27.3547333205366,0.666442883477819,7.72103270377554,0.849999999930139,1,0.439319912816192,0.243581011088409,12.3398331818082,0.433065212305262,0.0116575621652281,4.8440346641028e-06,1.29008614616092e-05,0.988324692938645
"Hastings4",-1586.59456763609,0.218873898110587,0,0,0.02,35.3458500579861,33.3151849503487,0.680470722684182,7.6760572472123,0.75,1,0.386027201541913,0.314671895949593,18.4234142939621,0.432256748440499,0.0117836927244586,2.92261418731855e-06,5.65914297045636e-06,0.988207725518384
"Hastings5",-1584.50644423177,0.202410789530333,0,0,0.02,38.6093679274555,39.5988261465605,0.6845593083362,7.65936204984594,0.55,1,0.311072832155605,0.317075856986255,33.7977282037605,0.40754215022457,0.0144764504704678,7.30154654883489e-06,2.51331893889124e-06,0.985513734664046
"Hastings6",-1584.26916155047,0.286969364633947,0,0,0.02,43.3815504979681,43.9021104117932,0.675314957612284,7.63444824838833,0.47629237716871,1,0.298385038594346,0.208787397680782,46.4567118231748,0.411492184831626,0.0161135504391743,6.53761405759525e-06,3.96104810889692e-06,0.98387595089866
"Hastings7",-1584.18584712014,0.204593746620732,0,0,0.02,49.2826737453317,65.6985684333798,0.684584261213854,7.91677909231165,0.35,1,0.196328285631011,0.390070765010851,91.0969700500548,0.402777709405699,0.0170282535179648,6.499955850503e-06,3.32203781112994e-06,0.982961924488374
"Hastings8",-1584.16833536066,0.238656696196694,0,0,0.02,47.4058020772911,144.258611265488,0.717558722230965,8.2543973011258,0.237626220719299,1,0.1,0.328971065790829,161.668961708881,0.404774301205819,0.0211525642765142,4.1771446809704e-06,4.38434539648143e-06,0.978838874233407
"Hastings9",-1584.36044939934,0.168393214534215,0,0,0.02,45.5576450500714,308.284407576371,0.698071395077268,8.77077255382867,0.200000000444424,1,0.0584743378678352,0.658794301894985,219.312375786865,0.393913997655229,0.0259889590699029,4.64193509340813e-06,6.05032049938577e-06,0.974000348674504
"Hastings10",-1583.94448945839,0.248836884997295,0,0,0.02,65.299442194125,190.907656183264,0.699515070138732,8.2205210030903,0.164639612670692,1,0.0870234818987245,0.388851976899767,473.98287062664,0.413141851769246,0.0321727947118456,5.38544890727371e-06,4.39780475893437e-06,0.967817422034488
