"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"Hastings9",-1584.56444231372,0.24277308673493,0,0,0.02,35.9399315248875,348.013401241395,0.696341240773543,9.06609814280643,0.242415017625286,0.918666666666667,0.0361502849775398,0.50216520173384,110.215103814148,0.396151678172652,0.0249588913723368,5.61926577278706e-06,4.6523877133252e-06,0.975030836974177
"Hastings10",-1584.3040959895,0.263659340934009,0,0,0.02,40.5765258932337,231.892612183567,0.714767110058391,8.69864427040885,0.250345732233721,0.945333333333333,0.0520630709229091,0.4737235170435,120.83141917674,0.383967494981388,0.0269590638190482,5.7854011506255e-06,3.45683873855597e-06,0.97303169394107
"Hastings11",-1583.90609560247,0.284804012237104,0,0,0.02,50.5753828031518,79.300956185466,0.684604596318635,7.95649185189738,0.290593396997567,0.96587248452173,0.133718851721433,0.427276103562588,114.565440084053,0.396555169293465,0.0223674127222029,6.83582674458017e-06,4.62784203537106e-06,0.977621123609016
"Hastings12",-1583.68136758758,0.245122902512032,0,0,0.02,43.1428046699969,244.521536049114,0.707545581487837,8.65562780166648,0.221122908826812,0.973111111111111,0.0583638307095498,0.518516632126364,176.160882303019,0.400437671033988,0.02627363064453,4.60773798561325e-06,4.46109389547543e-06,0.973717300523585
"Hastings13",-1583.72363120867,0.308283481312452,0,0,0.02,46.7007369789196,142.696287154645,0.702410082763313,8.32695248081358,0.244784757483394,1,0.103002349727481,0.357323162108927,162.432636990638,0.402304906128023,0.0211648938621038,4.43500302695417e-06,4.70631259645723e-06,0.978825964822273
"Hastings14",-1583.72363120867,0.308283481312452,0,0,0.02,46.7007369789196,142.696287154645,0.702410082763313,8.32695248081358,0.244784757483394,1,0.103002349727481,0.357323162108927,162.432636990638,0.402304906128023,0.0211648938621038,4.43500302695417e-06,4.70631259645723e-06,0.978825964822273
"Hastings15",-1584.59052289265,0.192207603084476,0,0,0.02,45.4924762381338,78.1686464666826,0.699967143925861,7.83221915561568,0.297314620119978,1.03055555555556,0.198347431791847,0.231983930090706,85.2624194890756,0.414199188576165,0.0200958822439461,4.4187653441452e-06,1.79070421730042e-06,0.979897908286492
"Hastings16",-1585.49861174277,0.237961179232554,0,0,0.02,49.7577058677862,77.1963054043711,0.718386993768921,7.87496451482232,0.303116806637428,1.03055555555556,0.21784548642403,0.258332902884073,92.9592543684125,0.417031393043016,0.0140415603780994,3.5128805624888e-06,1.41893106736376e-06,0.98595350781027
"Hastings17",-1586.46059702961,0.273104262880024,0,0,0.02,46.5618671514114,97.6577738231305,0.675486941346163,7.72078264795184,0.303305607313341,1.04444444444444,0.18662618727004,0.255545678834557,130.443564819593,0.404571841129607,0.0289650110328851,4.59175315489035e-06,1.27436134114629e-06,0.971029122852618
"Hastings18",-1587.73339030327,0.128487159299967,0,0,0.02,39.2114135687329,422.467275037757,0.70206160435329,8.90234663316531,0.235214706910584,1.06,0.0625334854937573,0.425712234827073,157.740106652159,0.410616859771634,0.0250521743753122,7.43619934332291e-06,1.42323610315105e-05,0.974926157064312
"Hastings19",-1589.15686137391,0.238487723837567,0,0,0.02,39.4564456370402,407.637285619645,0.725039814549946,8.69118836208588,0.218076751728309,1.07555555555556,0.0769558416348343,0.462373478258157,144.010137086652,0.393518474349217,0.0297417415121634,6.5606132495477e-06,1.93971042003768e-05,0.970232300770387
"Hastings20",-1591.10413698529,0.211468367112681,0,0,0.02,32.5543564628257,1114.11996554428,0.682871324502963,9.3970417510011,0.186352876754535,1.08777777777778,0.0542106195703839,0.634282875282125,132.70428346158,0.417060554827796,0.0215280237277796,2.11015129619284e-05,1.25899128308705e-05,0.978438284846428
