"model","district","r.squared","IP","short","long","fatality","R0","loglik","loglik.sd","nfail.max","nfail.min","init.pop","gamma","rho","eps","delta","clin","deltaI","alpha","beta.trend","log.beta1","log.beta2","log.beta3","log.beta4","log.beta5","log.beta6","sd.beta","tau","S.0","I.0","Rs.0","R1.0","R2.0","R3.0","batch","omega","ndata","dof","aic.c","phage.t","phage.r","Phi.0","omega1","omega2","omega3","omega4","omega5","omega6"
"twopath","Moshidabad",0.623034820064289,8.73842539788828,15.6123978180213,2.44843843872894,0.379312167635392,1.81775077994635,-3404.57666591774,0.624896059301641,0,0,1250946,5.95072883640641,3.33068633057612,0.408423583040597,0.0199999999999999,0.00786775445960872,3.64880698349195,1,-0.00586642700903427,6.34911294853471,9.8529589690615,3.76215621518963,8.76275374185832,7.70099821117585,8.47743022577,585.153594246581,0.419020190442071,0.736926497317763,0.000150002123198733,0.123006167511074,0.0513392919857176,0.0327319708436894,0.0558460702185576,NA,0.0140133749459138,600,20,6850.60410903755,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Mymensing",0.804498619873322,3.81926156765993,20.4677421367063,2.59450333505924,0.219339063256569,1.43844050286389,-3979.54400471956,0.545589862599676,0,0,3472186,13.6151973565562,2.54058311135085,0.385430223383069,0.0199999999999999,0.0278920059945674,3.83102480826243,1,-0.0058382763578377,5.40779137080819,8.51473586401986,4.55908114508861,6.63135740011419,7.3903252901884,7.44745634065983,114.180439876575,0.283819071496151,0.565979867665943,0.00174974996281552,0.0919926904774447,0.265746768823206,0.0276033236409752,0.0469275994296159,NA,0.000383682792185398,600,20,8000.5387866412,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Nadia",0.733406688862386,7.80871032617089,5.63534939972266,1.14387901680136,0.436049869593035,1.65758514798959,-3403.28289010461,0.480944375295908,0,0,1644108,6.65923024775577,9.22746689008478,0.874218326686604,0.0199999999999999,0.00540091043099503,5.1644238053709,1,-0.0076243548122482,6.29817616415883,11.3126204043985,2.03314934087126,7.31818851616389,9.34843824207637,8.87639469236924,773.11031947306,0.457357189300268,0.437585046627947,0.00189139443735407,0.494064065359539,0.0189899206370436,0.0201493245223919,0.0273202484157266,NA,0.0049378018212112,600,20,6848.01655741129,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Noakhali",0.691466290406327,5.45221565433925,11.7837008501459,2.18933238502265,0.245096141211408,1.70864089356043,-3471.73604187334,0.351778282233843,0,0,1009693,9.5374070463656,4.41287509427534,0.456760246566971,0.0199999999999999,0.010787415650226,3.10302240448202,1,-0.00345604789781863,5.91982174593795,9.32784929810187,5.45161089338034,8.23547623411914,6.89755709158409,9.18599576523926,383.342106949953,0.383106432816575,0.0551116627112224,0.000651641323000016,0.81667771510213,0.00466318734218166,0.0574759351808143,0.0654198583406553,NA,0.00519774082808887,600,20,6984.92286094875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Pabna",0.695152996270263,4.23123561601008,11.7983459265535,1.2442216909146,0.527750820049194,1.46851374612401,-3283.79628707907,0.300301875656943,0,0,1362392,12.2895543333118,4.40739747111232,0.80371529230046,0.0199999999999999,0.0059174254782656,13.7562491787114,1,-0.00221224892733897,7.55540204539809,10.6254437800354,6.36577423090055,9.150075843589,9.21807573445916,8.98659177821227,713.712847238448,0.501441404910715,0.46780925170965,0.000466634043706516,0.232948991662911,0.0915155855180636,0.0622448261551766,0.145014710910491,NA,0.000578074872118762,600,20,6609.04335136021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Rangpur",0.631482425113238,3.00750532240453,3.71776925644216,0.731757727849631,0.00769468302093204,1.55482591395689,-3264.15144495962,3.01692293821614,0,0,2065464,17.2900774647426,13.986882028758,1.36657251702505,0.0199999999999999,0.38943258272322,0.134228404181556,1,-0.00512701265043927,2.85866211422632,5.93930128497754,2.56852788642652,4.37903543172362,4.66150736984461,4.5353456703753,11.1243324740691,0.611928097765991,0.93124873849338,0.0131963552712269,0.026201376557046,0.0106583221134835,0.00524352499229112,0.0134516825725649,NA,0.000399767960431992,600,20,6569.75366712131,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Rashashi",0.690989103005256,5.75237063630746,8.9138811589263,1.31935979141549,0.321099250021691,1.51514179681131,-3306.83126694575,0.298048942949981,0,0,1313336,9.03975131084036,5.83359807842262,0.757943365037022,0.0199999999999999,0.00786542547472944,4.28498473655658,1,-0.00861302920671702,5.3245918072163,10.8477558663247,3.73258226068311,8.05184270284174,8.0301848530152,9.15121380584968,524.006772684675,0.484592285273442,0.23555007922365,0.00200720856926895,0.180666449126126,0.0811591619939023,0.192260691298077,0.308356409788975,NA,0.00611024245754631,600,20,6655.11331109357,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","Tipperary",0.762956194986237,6.93847449258674,9.92566143719615,0.308651265193373,0.302988698673106,1.53321117209131,-3646.63187972263,0.396408301485295,0,0,1782935,7.49444277060588,5.23894556841636,3.23990248144128,0.0199999999999999,0.0056319083383051,3.26650548131012,1,-0.00524617605825886,6.70190201512839,10.2647934536467,1.23998109379949,8.42732392946635,8.01171528546462,9.49083878307727,567.300107878177,0.400368982030917,0.0710226090474641,0.00315887782550189,0.384483799830896,0.0910650649312743,0.0679322461677323,0.382337402197134,NA,0.00572215440539202,600,20,7334.71453664733,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twopath","X24.Parganas",0.843794654923958,18.458580594272,11.1673503511833,1.27394386107295,0.578205141083395,1.3754601748461,-3780.55516841109,0.580636213796552,0,0,1758103,2.81711801914696,4.65643132567162,0.784963945866321,0.0199999999999999,0.0078893150010897,3.88918022553576,1,-0.00565955021525236,5.69509778744741,9.30730565563277,-0.472467026946313,6.9704365475236,6.19013230168271,9.46105056277077,329.477771465677,0.155870109335242,0.662816965704832,0.00208451461408128,0.0649825733468929,0.0178748006099093,0.0708575601349007,0.181383585589384,NA,0.0252576946698533,600,20,7602.56111402425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phage","Bakergange",0.854810896763067,4.65782351159365,Inf,0.0251109035885271,0.00249591415759846,1.41384595530656,-3664.48436577915,0.704229665184628,0,0,2153965,11.1640125201327,0,39.8233379565397,0.02,1,0.0279841813020583,1,-0.00351198800254666,0.0820600234662167,7.20911616511732,-8.99656636926174,2.22835184016253,2.0959093520276,5.28456248648136,2.59320046623886,0.320903272133985,0.630186093568791,0.222346024247872,0,0.11908375279632,0.0183575706524435,0.0100265587345767,"best_phage2",0.00721772871706864,600,20,7370.41950876037,0.316496640770395,2.9294128696761e-08,11.3306404855454,NA,NA,NA,NA,NA,NA
"phage","Bankura",0.56958343559339,7.12931922936019,Inf,0.251949199936262,0.00262351237993452,1.40270959377562,-3040.16057281504,0.342280975660432,0,0,1069668,7.29382404225244,0,3.96905408015973,0.02,1,0.0192383800477372,1,-0.00594572330977604,2.98043154518151,3.07292943392386,0.56150264181528,4.88856612917157,-2.60459528555871,2.62193616257354,3.88504865239849,0.476261983974416,0.858679563905129,0.0250707994570127,0,0.0663843250975463,0.0417035269094589,0.00816178463085377,"best_phage3",0.0294118532247255,600,20,6121.77192283215,0.366498823255239,4.19401715903175e-08,5.65134957388614,NA,NA,NA,NA,NA,NA
"phage","Birbhum",0.494510703706853,5.69213654342232,Inf,0.0716899542118654,0.00762430851610848,1.52947354581398,-3082.78227206252,0.294175922983599,0,0,797833,9.13540980672535,0,13.9489557636583,0.02,1,0.0703399625332441,1,-0.00479397114573022,1.78064955803913,3.73199258888028,0.672379006854573,4.31315509474167,0.431401392042101,4.36398174457686,4.14803731893691,0.532344477238698,0.431151371454382,0.0042371233418736,0,0.123658632895651,0.191751928171519,0.249200944136572,"best_phage4",0.00688488458412783,600,20,6207.01532132711,0.351500760700274,1.85603498122031e-07,6.43421843171599,NA,NA,NA,NA,NA,NA
"phage","Bogra",0.535793811811901,3.69636230074788,Inf,0.517063941491639,0.00295485716723822,2.05377027558699,-2857.93085047765,11.3888483213447,0,0,817494,14.0678850635066,0,1.93399678406345,0.02,1,0.0417510565598464,1,-0.00797119967887701,2.25344632427212,4.86970895426892,1.73003865188663,3.46387036553972,3.99100855226979,3.39277194627925,5.35323119509042,0.666168379999728,0.804860255571549,0.0406964847556927,0,0.000893410332859937,0.00468667702776018,0.148863172312139,"best_phage3",1.72507655009045e-05,600,20,5757.31247815737,3.6601502142984,2.04786503249532e-06,9.97186925661117,NA,NA,NA,NA,NA,NA
