"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","log.beta1","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"Hastings1",-1620.71894847323,0.71150799631541,0,0,0.02,24.3422480933351,885.0218959608,0.679919294561452,9.618226565342,0.368273459263429,1,0.00278255940220713,0.746426160217709,121.719713771338,0.432837628304452,0.0192279367050115,1.01168122937817e-05,6.09365916546419e-06,0.980755852823527
"Hastings2",-1612.86994820962,0.208935514792526,0,0,0.02,24.0331580753331,880.392510975566,0.671484713766467,9.834825859487,0.332404798928639,1,0.00464158883361278,0.710347301721709,105.248023174182,0.442801775893668,0.014775810584059,8.32051692496075e-06,5.13758785037381e-06,0.985210731311165
"Hastings3",-1605.26693385589,0.182366352507351,0,0,0.02,29.9892105525131,1657.05675872011,0.69446106667737,9.47456217666828,0.299451633406968,1,0.00774263682681127,0.49463979844245,149.414777764705,0.411097507876139,0.0245767879157392,2.15877407911565e-05,6.23696905242785e-06,0.975395387374417
"Hastings4",-1596.61513765933,0.171851843655855,0,0,0.02,34.1794737137057,1364.47474500591,0.722653524614619,9.37548990453048,0.227831068620614,1,0.0129154966501488,0.611534572138816,206.492872939333,0.411264568223625,0.0240755270643288,2.18630129700789e-05,7.24477183211965e-06,0.97589536515087
"Hastings5",-1589.04573439904,0.7886554884028,0,0,0.02,41.6818503790293,878.078369202919,0.710458409283276,9.10530676114524,0.230513399567933,1,0.0215443469003188,0.39508740168743,259.331559824847,0.40929070802196,0.0305070290571984,4.82568070852588e-06,4.65868144053599e-06,0.969483486580658
"Hastings6",-1584.7806750162,0.123707787312422,0,0,0.02,39.6790744194626,1434.0633288875,0.681341518157946,9.23864847282668,0.208987116806508,1,0.0359381366380462,0.389689503492446,202.315069724962,0.416003477740667,0.0276967143596033,4.11388149721718e-06,4.44454338920754e-06,0.97229472721551
"Hastings7",-1584.1571078864,0.954493440358568,0,0,0.02,45.5576449536372,308.284406894258,0.698071395095439,8.77077255547903,0.2,1,0.0584743377234052,0.658794300831577,219.312375786865,0.393913997741925,0.0259889591149558,4.64193509656886e-06,6.05032051010756e-06,0.974000348629437
"Hastings8",-1584.16833536066,0.238656696196694,0,0,0.02,47.4058020772911,144.258611265488,0.717558722230965,8.2543973011258,0.237626220719299,1,0.1,0.328971065790829,161.668961708881,0.404774301205819,0.0211525642765142,4.1771446809704e-06,4.38434539648143e-06,0.978838874233407
"Hastings9",-1584.17345771384,0.170893779372917,0,0,0.02,56.8359476540359,80.4081191947313,0.68701923914542,7.76538457390463,0.278286797117442,1,0.166810053720006,0.397341260677555,140.84508486632,0.423452963891323,0.0232582227432664,6.45898858430726e-06,4.57896742924355e-06,0.976730739300721
"Hastings10",-1583.82389334069,0.297205775763536,0,0,0.02,51.6057261998735,69.5622418585467,0.688257239962995,7.87116830135273,0.3,1,0.179121008514206,0.373126580072251,109.846524702888,0.406722881057345,0.0179642679179515,6.68633065329434e-06,3.56472277686084e-06,0.982025481028618
"Hastings11",-1584.61716645869,0.313186592859907,0,0,0.02,61.405304533052,51.2493866417555,0.686641143672728,7.56954917555113,0.292056236002471,1,0.24602912761301,0.374858341624741,108.272530993593,0.410233984158368,0.01709156831498,7.54897204724439e-06,3.66739423483365e-06,0.982897215318738
"Hastings12",-1585.17699401188,0.332362630735461,0,0,0.02,69.1842010608907,44.4660970385851,0.706526287324187,7.36957863249555,0.360280780031063,1,0.337929881998032,0.260353560107139,88.8380761395088,0.416379716527554,0.0179282927352774,6.54886830683414e-06,3.5615080119219e-06,0.982061596888404
"Hastings13",-1586.62133441058,0.16948013354003,0,0,0.02,65.8732493869664,35.3766112041014,0.714685810521796,7.29663240578968,0.392425687058828,1,0.464158883361278,0.252821503643856,47.0435515668742,0.415714847738615,0.0151261739636629,6.34470676986248e-06,5.159930034386e-06,0.984862321399532
"Hastings14",-1587.36943225603,0.226949301106896,0,0,0.02,62.1534666534736,32.4201942870235,0.716861143249121,7.25656756244046,0.424534085000828,1,0.547487100450293,0.241746077298705,32.7533842175388,0.420823951027529,0.0146465759264826,5.88006303152406e-06,5.7360579097659e-06,0.985341807952577
"Hastings15",-1589.08984785559,0.229011424684904,0,0,0.02,65.147169508231,30.8699473076107,0.731541190424,7.18391152899429,0.439844885909948,1,0.64577483250744,0.272379533744045,31.1133209735673,0.414394418294701,0.0148974990201717,5.4706890942265e-06,7.03962085692015e-06,0.985089990669878
"Hastings16",-1589.21915918488,0.284729494248686,0,0,0.02,44.8826319330063,25.406523346813,0.701591627796307,7.24543757043689,0.514765229497126,1,0.79090941418725,0.206016037092862,14.3694157683338,0.434773004979955,0.0119744237566177,5.94721938903315e-06,5.74116634175465e-06,0.988013887857652
"Hastings17",-1590.426157651,0.24308820209092,0,0,0.02,46.6267376187063,25.0563086157098,0.70955022419525,7.18431317861952,0.558887167179511,1,0.96866224876116,0.242962030715631,13.6019464725158,0.425734348244863,0.0122823334835647,5.45908589245993e-06,6.47457215293312e-06,0.987705732858392
"Hastings18",-1590.99089428921,0.259670966773078,0,0,0.02,41.9293694406194,24.1370082072628,0.705667630319088,7.17865052437823,0.597072216342927,1,1.11851482015217,0.252273766027206,11.395246569877,0.425175120468925,0.0117877031362759,5.60425581736875e-06,6.44713552103543e-06,0.988200245472386
"Hastings19",-1591.53760458776,0.300323982776213,0,0,0.02,33.8435839669459,24.2473172411002,0.683540928196744,7.23367420760155,0.682638070311582,1,1.29154966501488,0.263913397295888,9.3532970626885,0.428785176305628,0.0108158867660816,3.96868245329998e-06,5.91549736798108e-06,0.989174229054098
"Hastings20",-1592.60728213758,0.191880946524308,0,0,0.02,35.4406264245229,23.3801349648184,0.711433493648918,7.1261010606698,0.643312054408425,1,1.49135309353622,0.286375222403461,8.7285421372778,0.417002146158592,0.011667579463741,7.50435380504097e-06,6.55764417121123e-06,0.988318358538282
