Beta,mu_IR,rho,eta,N,loglik,loglik.se,k
3.489593903633134,2,0.0542630955026454,0.6354619049259931,38000,-104.3565119397095,0.025727939944638036,10
3.635033231531869,2,0.0556885499115725,0.6125641025641025,38000,-104.35669532373268,0.027967647113182663,10
3.3607468795783935,2,0.05225820577404065,0.6628548857971657,38000,-104.3568197897203,0.022022750734575484,10
3.6302352127539237,2,0.057703626065241785,0.6125641025641025,38000,-104.35722280419527,0.027090692284191115,10
3.352934579810293,2,0.053320593288408276,0.6607692307692307,38000,-104.35738976131066,0.02282906637623956,10
3.7247182051856713,2,0.05688704916646054,0.5996986741168545,38000,-104.35746491213213,0.019888474485889724,10
3.741672553752474,2,0.060309949080543,0.5912264360474391,38000,-104.35763531493406,0.031088938910488466,10
3.348388570036317,2,0.05089657874141057,0.6645691745877441,38000,-104.35771721615497,0.024218724740455173,10
3.499305778327001,2,0.05425301735758002,0.6366666666666666,38000,-104.35795105768499,0.024371837903763096,10
3.342813938832372,2,0.053661899631342935,0.6607692307692307,38000,-104.35836755928872,0.025612538632729026,10
3.694528171863519,2,0.05496543918208765,0.6043116211340313,38000,-104.358940751724,0.025190652567859753,10
3.82271569561233,2,0.05869548619950268,0.5841372069038159,38000,-104.35910083515765,0.022821680716184123,10
4.535139148914641,2,0.06971568281942173,0.49205128205128196,38000,-104.35912612359965,0.024689398252868845,10
4.679435672189754,2,0.07253651740334638,0.4756561561781902,38000,-104.35919510358589,0.022598489738800416,10
3.982125259032415,2,0.06126847967030012,0.561431727571534,38000,-104.35941413954887,0.017850515700186836,10
3.272869913803263,2,0.05080173406835988,0.6765768347641077,38000,-104.35981149613376,0.015133734705565168,10
4.724389802958239,2,0.07248903124376939,0.4711027581233255,38000,-104.35989570572151,0.01876941369136941,10
4.111068893008461,2,0.06384184895290283,0.5402564102564102,38000,-104.36095326222117,0.023274990043143345,10
4.296531604987797,2,0.06604760862611027,0.5161538461538461,38000,-104.36110610254255,0.020398699247013475,10
4.503379269911578,2,0.06994265443302194,0.49205128205128196,38000,-104.3616132140555,0.024525201707951014,10
3.598049776267899,2,0.055441054758830974,0.615432948383185,38000,-104.36169257502273,0.01727545463572994,10
3.4174387822288494,2,0.05356518696688118,0.6509866802382482,38000,-104.36254930928122,0.02391428531755614,10
3.4540458415404087,2,0.05467147640113025,0.6410508481271462,38000,-104.36323109893834,0.030938489403316016,10
4.243433820110925,2,0.06582747855672548,0.5220854215658239,38000,-104.3639059474985,0.03609763106562815,10
3.6549118924357393,2,0.05629592958238535,0.6084064894064909,38000,-104.36414665809787,0.02359720970990058,10
4.30018905364452,2,0.06724798912029548,0.5161538461538461,38000,-104.36484367517365,0.020862676819384342,10
3.249511058763696,2,0.04907799486687372,0.6848717948717948,38000,-104.36486218029286,0.01966823435234336,10
3.4812036458460605,2,0.053185650551593286,0.6398655729926812,38000,-104.36531536895433,0.029681363615514697,10
3.773845558115841,2,0.0588848454925586,0.5884615384615384,38000,-104.3655958624285,0.026915226102972672,10
3.7853030015442526,2,0.05855587812681503,0.5884615384615384,38000,-104.36583648967941,0.014458133720426744,10
4.097427724132423,2,0.06408068066888058,0.5402564102564102,38000,-104.36618036591484,0.024961267630899772,10
3.8603674591474006,2,0.06049277696033026,0.5754505736725207,38000,-104.36655212607349,0.016622775375522262,10
4.494848940104348,2,0.07052263542408524,0.49205128205128196,38000,-104.36666043067747,0.02598326546284678,10
3.4935392018802496,2,0.053241461538602444,0.6366666666666666,38000,-104.36671035890943,0.022243110624407952,10
3.253137292975119,2,0.05136653421836142,0.6838029972592372,38000,-104.3669757250043,0.02001722278170245,10
3.3529289946878555,2,0.05305392417572196,0.6607692307692307,38000,-104.36707475271669,0.030664497845828417,10
4.997395226143742,2,0.07684568290368918,0.4438461538461537,38000,-104.36751596826463,0.020953842221256652,10
4.542100735281415,2,0.06924443366496028,0.49205128205128196,38000,-104.36860418248865,0.020266595320064,10
4.353541075179647,2,0.06596104965305666,0.5119466041335585,38000,-104.36873716536553,0.020485700442457302,10
4.311509977833514,2,0.0663791442816335,0.5161538461538461,38000,-104.36948101566391,0.025825564180462217,10
3.9552132410202328,2,0.05938199607701006,0.5643589743589743,38000,-104.36972077729521,0.020246829379903596,10
4.736659408309169,2,0.07338185249718253,0.46794871794871784,38000,-104.36980676935295,0.009997531438287053,10
4.127294164564222,2,0.06408254843649522,0.5402564102564102,38000,-104.36984626884175,0.0305894458695266,10
4.733263346916637,2,0.07400644584490261,0.46794871794871784,38000,-104.37029053095937,0.023602024217008744,10
3.3430265679842415,2,0.0525658092945688,0.6607692307692307,38000,-104.37173552267707,0.0217713734109596,10
3.3664449574747586,2,0.052544940133004786,0.6607692307692307,38000,-104.37229676934687,0.025292041490055487,10
4.123439026613444,2,0.06149241462253135,0.545190447786411,38000,-104.37233425112116,0.027519724288790886,10
4.540021281320818,2,0.06930833643997752,0.49205128205128196,38000,-104.37278438116374,0.02390628590412078,10
3.2344198166974913,2,0.05111900291821842,0.6848717948717948,38000,-104.37320157459068,0.02060362891693728,10
